city,name,latitude,longitude,address
London,Primrose Hill,51.5395226,-0.1606499,"Primrose Hill Road, London"
London,K+K Hotel George Kensington,51.492352,-0.195519,"1-15 Templeton Place, London"
London,Flanders Fields Memorial Garden,51.5005394,-0.1357828,"Westminster, London"
London,Brook Green,51.496182,-0.2198333,"Brook Green, London"
London,Hyde Park,51.5073638,-0.1641135,London
London,WWT London Wetland Centre,51.476141,-0.234665,"Queen Elizabeth Walk, London"
London,Victoria Park,51.5365614,-0.03897199999999999,"Grove Road, London"
London,The Regent's Park,51.5312705,-0.1569694,London
London,The Phene,51.48517400000001,-0.167575,"9 Phene Street, London"
London,Polish Air Force Memorial,51.5488434,-0.4003079999999999,"Western Avenue, Ruislip"
London,Tower Hamlets Cemetery Park,51.5231445,-0.0272155,"Southern Grove, London"
London,Lost Society,51.4740879,-0.1570307,"339 Battersea Park Road, London"
London,Queen Elizabeth Olympic Park,51.5439614,-0.0152116,London
London,Richmond Park,51.441185,-0.2745320000000001,Richmond
London,Kensington Gardens,51.506987,-0.179165,London
London,The Green Park,51.50390520000001,-0.1438484,"Green Park, London"
London,Battersea Park,51.4791075,-0.1564981,London
London,Kenwood House,51.57138819999999,-0.1674543,"Hampstead Lane, London"
London,Horniman Museum and Gardens,51.4410762,-0.06129250000000001,"100 London Road, London"
London,Crystal Palace Park,51.4221083,-0.0709457,"Thicket Road, London"
London,Jubilee Gardens,51.5040437,-0.1181412,"Belvedere Road, London"
London,Greenwich Park,51.4769095,0.0014643,London
London,Brockwell Park,51.45082000000001,-0.1076672,"Brockwell Park, Brockwell Park Gardens, London"
London,Chelsea Physic Garden,51.48491720000001,-0.1627774,"66 Royal Hospital Road, London"
London,Lister Gardens,51.5287307,0.0175574,"54 Rudolph Road, London"
London,The National Archives,51.4811031,-0.2793934,"Bessant Drive, Richmond"
London,St James's Park,51.502967,-0.1339534,London
London,Dulwich Picture Gallery,51.44606219999999,-0.08632889999999999,London
London,St Saviour's Edible Garden,51.4450105,-0.043012,"Brockley Rise, London"
London,Buckingham Palace Garden,51.50112020000001,-0.1460413,"Buckingham Palace, Constitution Hill, Spur Road, London"
London,Hampstead Heath,51.5608294,-0.1629416,London
London,Russell Square,51.52175,-0.12589,London
London,Battersea Park Children's Zoo,51.4813528,-0.1565835,"Battersea Park, London"
London,Fulham Palace,51.4707092,-0.2159675,"Bishop's Avenue, London"
London,Vauxhall City Farm,51.4871332,-0.1191085,"165 Tyers Street, London"
London,Granville Square garden,51.5276846,-0.1135453,"Granville Square, London"
London,Holland Park,51.50322519999999,-0.2036668,"Ilchester Place, London"
London,Central Park,51.5293175,0.0527634,"Central Park Road, London"
London,Paddington Recreation Ground,51.5301947,-0.1907844,"Randolph Avenue, London"
London,Southwark Park,51.4933782,-0.05376229999999999,"Gomm Road, London"
London,Stockwell Skate Park,51.4660545,-0.1163401,"Stockwell Skate Park, Stockwell Road, London"
London,Old Royal Naval College,51.4827142,-0.006696400000000001,London
London,Postman's Park,51.516767,-0.09771500000000002,"King Edward Street, London"
London,Roundwood Park,51.54195050000001,-0.2406079,"Harlesden Road, London"
London,Beckenham War Memorial,51.406914,-0.0320175,"Croydon Road, Beckenham"
London,Garden Museum,51.4949621,-0.1201916,"5 Lambeth Palace Road, London"
London,Hanning Recruitment,51.5092118,-0.1438322,"12 Hay Hill, London"
London,Ravenscourt Park,51.49668680000001,-0.2389906,"Paddenswick Road, London"
London,"Lee Valley Camping and Caravan Park, Edmonton",51.6322395,-0.03501669999999999,"Meridian Way, London"
London,Clapton Common,51.57190669999999,-0.0660391,"Clapton Common, London"
London,National Trust - Osterley Park and House,51.48952260000001,-0.351652,"Jersey Road, Isleworth"
London,Chiswick House and Gardens Trust,51.4838077,-0.2586959999999999,"Chiswick House, London"
London,Clissold Park,51.5616965,-0.0882314,"Green Lanes, London"
London,Argyle Square Public Basketball Court,51.5292915,-0.1225276,"9 Argyle Square, London"
London,Hackney Marshes Centre,51.5532444,-0.025582,"Homerton Road, London"
London,National Trust - Fenton House and Garden,51.5589422,-0.1798884,"Fenton House, Hampstead Grove, London"
