city,lat,lng,country,admin_name,population,greenSpaceArea_m2,greenSpaceArea_km2
Miami,25.784,-80.2101,United States,Florida,6080145.0,35572801.13788453,35.57
Houston,29.786,-95.3885,United States,Texas,5970127.0,52571625.34829269,52.57
Dallas,32.7935,-96.7667,United States,Texas,5830932.0,79909374.22948737,79.91
Atlanta,33.7628,-84.422,United States,Georgia,5180179.0,147335171.4629619,147.34
Washington,38.9047,-77.0163,United States,District of Columbia,5116378.0,73151161.01818375,73.15
Phoenix,33.5722,-112.0892,United States,Arizona,4064275.0,10151229.745374072,10.15
San Diego,32.8313,-117.1222,United States,California,3046560.0,16740341.982585276,16.74
Las Vegas,36.2333,-115.2654,United States,Nevada,2248047.0,8632887.128798839,8.63
Portland,45.5371,-122.65,United States,Oregon,2095808.0,1072964.1290939928,1.07
Austin,30.3005,-97.7522,United States,Texas,1905945.0,72784805.51387253,72.78
Manhattan,40.7834,-73.9662,United States,New York,1694263.0,12224149.7713058,12.22
Kansas City,39.1238,-94.5541,United States,Missouri,1689556.0,101489221.75370198,101.49
Cleveland,41.4764,-81.6805,United States,Ohio,1680247.0,507537.09032135014,0.51
Columbus,39.9862,-82.9855,United States,Ohio,1572546.0,79085369.32404575,79.09
Virginia Beach,36.7335,-76.0435,United States,Virginia,1443020.0,164831080.91033307,164.83
Charlotte,35.2083,-80.8303,United States,North Carolina,1427444.0,190724641.85540625,190.72
Jacksonville,30.3322,-81.6749,United States,Florida,1288298.0,128834883.185242,128.83
Nashville,36.1715,-86.7842,United States,Tennessee,1177657.0,123236234.49123828,123.24
Raleigh,35.8324,-78.6429,United States,North Carolina,1163152.0,210731975.26419544,210.73
Richmond,37.5295,-77.4756,United States,Virginia,1073223.0,199403067.22995743,199.4
Memphis,35.1087,-89.9663,United States,Tennessee,1037998.0,110911811.5892252,110.91
Hartford,41.7661,-72.6834,United States,Connecticut,974684.0,13994281.418767145,13.99
Buffalo,42.9018,-78.8487,United States,New York,944589.0,146.31057739257812,0.0
New Orleans,30.0687,-89.9288,United States,Louisiana,932759.0,72109464.04547042,72.11
Tucson,32.1541,-110.8787,United States,Arizona,878320.0,3151965.999051322,3.15
Tulsa,36.1283,-95.9042,United States,Oklahoma,731743.0,86686583.92239636,86.69
Fresno,36.783,-119.7939,United States,California,725276.0,33908285.67311082,33.91
Charleston,32.8168,-79.9687,United States,South Carolina,706884.0,96691738.05226052,96.69
Rochester,43.168,-77.6162,United States,New York,699921.0,145.753173828125,0.0
Dayton,39.7805,-84.2003,United States,Ohio,668825.0,112314015.55435853,112.31
Cape Coral,26.6443,-81.9957,United States,Florida,654405.0,48376151.33422872,48.38
Knoxville,35.9692,-83.9496,United States,Tennessee,615829.0,262744838.36303747,262.74
Grand Rapids,42.9619,-85.6562,United States,Michigan,609023.0,0.0,0.0
Columbia,34.0378,-80.9036,United States,South Carolina,604065.0,206466135.0833289,206.47
Albany,42.6664,-73.7987,United States,New York,590694.0,402667.6730500464,0.4
New Haven,41.3113,-72.9246,United States,Connecticut,565572.0,121825884.83926108,121.83
Palm Bay,27.9631,-80.6593,United States,Florida,534348.0,175054332.7912566,175.05
Concord,37.9722,-122.0016,United States,California,531175.0,36403786.10576316,36.4
Mesa,33.4015,-111.7178,United States,Arizona,503390.0,17267826.201023176,17.27
Toledo,41.6638,-83.5827,United States,Ohio,493302.0,10927688.558423929,10.93
Brookhaven,40.832,-72.9517,United States,New York,487162.0,105389128.46825305,105.39
Long Beach,33.7977,-118.167,United States,California,462293.0,12380979.56481269,12.38
Port St. Lucie,27.2796,-80.3884,United States,Florida,462047.0,140469720.07008418,140.47
Little Rock,34.7256,-92.3577,United States,Arkansas,459409.0,219906035.88235945,219.91
Spokane,47.6671,-117.433,United States,Washington,456219.0,949912.9563666248,0.95
Madison,43.0822,-89.393,United States,Wisconsin,451652.0,60773114.540871665,60.77
Denton,33.2175,-97.1418,United States,Texas,438492.0,59063924.243115075,59.06
Oakland,37.7904,-122.2166,United States,California,437825.0,77975049.52200772,77.98
Springfield,42.1155,-72.5395,United States,Massachusetts,437752.0,85698986.7704538,85.7
Augusta,33.3645,-82.0708,United States,Georgia,437257.0,97126264.24861103,97.13
Lancaster,40.042,-76.3012,United States,Pennsylvania,402476.0,105602383.3159805,105.6
Greenville,34.8354,-82.3646,United States,South Carolina,401443.0,181116863.7238643,181.12
Durham,35.9792,-78.9022,United States,North Carolina,399616.0,237687915.3632868,237.69
Fayetteville,36.0714,-94.1661,United States,Arkansas,394650.0,243161378.86964744,243.16
Aurora,39.7083,-104.7237,United States,Colorado,387349.0,6201856.070350529,6.2
Huntsville,34.6981,-86.6412,United States,Alabama,349482.0,207737230.97461855,207.74
Greensboro,36.0956,-79.8271,United States,North Carolina,347130.0,233908803.41663885,233.91
Corpus Christi,27.7254,-97.3767,United States,Texas,337230.0,6054134.328304365,6.05
Fort Wayne,41.0888,-85.1436,United States,Indiana,337163.0,150.56356811523438,0.0
Fort Collins,40.5477,-105.0656,United States,Colorado,335398.0,22774814.609750666,22.77
Jackson,32.3157,-90.2125,United States,Mississippi,335171.0,189221448.9944175,189.22
Fayetteville,35.085,-78.9772,United States,North Carolina,328804.0,243161378.86964744,243.16
Lansing,42.7142,-84.5601,United States,Michigan,322561.0,0.0,0.0
Lexington,38.0423,-84.4587,United States,Kentucky,321276.0,233113539.31431255,233.11
Mobile,30.6782,-88.1162,United States,Alabama,320855.0,129816712.765462,129.82
Henderson,36.0133,-115.0381,United States,Nevada,318063.0,6077743.865441918,6.08
Ann Arbor,42.2759,-83.731,United States,Michigan,308983.0,96002.21803050322,0.1
Santa Rosa,38.4458,-122.7067,United States,California,296180.0,84643945.47009204,84.64
Canton,40.8078,-81.3676,United States,Ohio,294047.0,70221510.63751838,70.22
Asheville,35.5707,-82.5537,United States,North Carolina,294013.0,274437798.1088747,274.44
Anchorage,61.1508,-149.1091,United States,Alaska,290674.0,0.0,0.0
Lincoln,40.8099,-96.6784,United States,Nebraska,290531.0,12018081.534510115,12.02
Concord,35.3933,-80.6369,United States,North Carolina,288783.0,36403786.10576316,36.4
Springfield,37.1943,-93.2916,United States,Missouri,286280.0,85698986.7704538,85.7
Plano,33.0502,-96.7486,United States,Texas,284948.0,37449389.49319948,37.45
Shreveport,32.4653,-93.7955,United States,Louisiana,283536.0,189968516.7820008,189.97
Lubbock,33.5657,-101.8879,United States,Texas,280890.0,2642741.789689906,2.64
Lakeland,28.0557,-81.9545,United States,Florida,280346.0,193513089.61018315,193.51
Rockford,42.2596,-89.064,United States,Illinois,273237.0,46623759.927384354,46.62
Gilbert,33.31,-111.7463,United States,Arizona,267267.0,23934336.77085984,23.93
Salem,44.9233,-123.0244,United States,Oregon,266420.0,3389163.427281907,3.39
Columbus,32.51,-84.8771,United States,Georgia,264282.0,79085369.32404575,79.09
North Las Vegas,36.2883,-115.0888,United States,Nevada,264022.0,2385343.1646884694,2.39
Tallahassee,30.4551,-84.2527,United States,Florida,258696.0,165713837.2300209,165.71
Laredo,27.5625,-99.4874,United States,Texas,255293.0,7897415.115865107,7.9
Irving,32.8583,-96.9702,United States,Texas,254962.0,45492747.832233414,45.49
Peoria,40.752,-89.6154,United States,Illinois,253467.0,124948371.64001146,124.95
Montgomery,32.3482,-86.2668,United States,Alabama,251158.0,240660030.8388049,240.66
Chesapeake,36.6778,-76.3023,United States,Virginia,249377.0,256863127.48544645,256.86
Scottsdale,33.6872,-111.8651,United States,Arizona,240537.0,7936271.926136063,7.94
Lafayette,30.2082,-92.0325,United States,Louisiana,237565.0,108168607.67750277,108.17
Norfolk,36.8945,-76.259,United States,Virginia,236973.0,69746753.12145555,69.75
Rock Hill,34.9415,-81.0241,United States,South Carolina,228811.0,253315622.27193573,253.32
Fremont,37.5265,-121.9843,United States,California,228795.0,30433574.69115012,30.43
Gulfport,30.4274,-89.0704,United States,Mississippi,228022.0,107412722.25011262,107.41
Enterprise,36.0091,-115.2278,United States,Nevada,225461.0,3211357.681607775,3.21
Gainesville,29.6804,-82.3459,United States,Florida,220929.0,259712068.69595063,259.71
Brownsville,25.9975,-97.458,United States,Texas,215269.0,18586537.27319559,18.59
College Station,30.5852,-96.2959,United States,Texas,213177.0,140858611.77267775,140.86
Clarksville,36.5692,-87.3413,United States,Tennessee,210551.0,176419155.5792512,176.42
